City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
257,Upernavik,GL,2021-04-08 00:53:51,72.7868,-56.1549,-3.14,88,95,7.02
258,Arlit,NE,2021-04-08 00:53:52,18.7369,7.3853,81.88,7,19,7.78
259,Severodvinsk,RU,2021-04-08 00:53:52,64.5635,39.8302,39.2,87,40,8.95
260,Coihaique,CL,2021-04-08 00:53:52,-45.5752,-72.0662,51.8,58,75,3.44
261,Faanui,PF,2021-04-08 00:53:53,-16.4833,-151.75,81.36,68,62,13.24
262,Ostrovnoy,RU,2021-04-08 00:53:53,68.0531,39.5131,30.34,87,100,11.16
263,Port Macquarie,AU,2021-04-08 00:52:42,-31.4333,152.9167,73.0,94,40,5.75
264,Ixtapa,MX,2021-04-08 00:53:54,20.7,-105.2,77.0,78,75,13.8
265,Shchigry,RU,2021-04-08 00:53:54,51.8755,36.9043,33.8,93,100,15.66
266,Aykhal,RU,2021-04-08 00:53:54,66.0,111.5,17.31,92,100,10.33
267,Derzhavinsk,KZ,2021-04-08 00:53:55,51.1,66.3167,39.83,80,75,12.33
268,Teahupoo,PF,2021-04-08 00:53:55,-17.8333,-149.2667,86.0,58,20,10.36
269,Darfield,GB,2021-04-08 00:53:55,53.5339,-1.376,39.2,75,10,8.05
270,Nova Olinda Do Norte,BR,2021-04-08 00:53:56,-3.8881,-59.0942,77.45,84,84,1.9
271,Ola,RU,2021-04-08 00:53:56,59.5833,151.2833,19.96,67,4,5.68
272,Chunskiy,RU,2021-04-08 00:53:57,56.0815,99.6342,33.58,96,100,9.26
273,Maridi,SS,2021-04-08 00:53:57,4.9158,29.4742,73.85,63,100,4.29
274,Ginir,ET,2021-04-08 00:53:57,7.1333,40.7,58.3,71,6,3.09
275,Chardara,KZ,2021-04-08 00:53:58,41.2547,67.9692,55.49,53,0,8.34
276,Severomuysk,RU,2021-04-08 00:53:58,56.1481,113.4267,27.16,72,92,2.3
277,Mogadishu,SO,2021-04-08 00:53:36,2.0371,45.3438,81.18,74,24,9.33
278,Kuytun,RU,2021-04-08 00:53:59,54.3419,101.5036,33.82,92,100,16.73
279,Ribeira Grande,PT,2021-04-08 00:53:59,38.5167,-28.7,60.1,90,54,20.87
280,Camas,ES,2021-04-08 00:53:59,37.402,-6.0331,62.01,77,0,5.75
281,Doka,SD,2021-04-08 00:54:00,13.5167,35.7667,85.24,11,86,8.19
282,Ahipara,NZ,2021-04-08 00:54:00,-35.1667,173.1667,70.3,62,76,1.05
283,Ayan,RU,2021-04-08 00:54:01,56.45,138.1667,24.53,88,100,14.85
284,Katherine,AU,2021-04-08 00:54:01,-14.4667,132.2667,82.4,69,0,5.75
285,Mayo,US,2021-04-08 00:54:02,38.8876,-76.5119,63.0,59,1,8.05
286,Atambua,ID,2021-04-08 00:49:16,-9.1061,124.8925,79.57,75,89,0.65
287,Shimoda,JP,2021-04-08 00:54:02,34.6667,138.95,57.2,72,40,17.27
288,Bend,US,2021-04-08 00:51:08,44.0582,-121.3153,54.0,33,100,1.99
