City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
240,Hambantota,LK,6.1241,81.1185,73.4,100,20,2.3,few clouds
241,Ivanivka,UA,46.7208,34.553,40.37,73,94,12.91,overcast clouds
242,Concarneau,FR,47.875,-3.9225,41.0,87,20,4.61,few clouds
243,Lugo,ES,43.0,-7.5,43.0,82,100,1.01,overcast clouds
244,Saint George,US,37.1041,-113.5841,81.0,7,1,9.22,clear sky
245,Kununurra,AU,-15.7667,128.7333,86.0,66,91,4.61,overcast clouds
246,Kudahuvadhoo,MV,2.6708,72.8944,82.0,70,45,7.65,scattered clouds
247,Boras,SE,57.721,12.9401,32.0,80,0,3.44,clear sky
248,Ruhengeri,RW,-1.4998,29.635,62.6,94,40,6.91,scattered clouds
249,Ilhabela,BR,-23.7781,-45.3581,73.53,81,40,13.49,scattered clouds
250,Meulaboh,ID,4.1363,96.1285,75.51,89,81,3.71,broken clouds
251,San Andres,CO,12.5847,-81.7006,82.4,78,75,11.5,broken clouds
252,Lompoc,US,34.6391,-120.4579,62.6,55,75,16.11,broken clouds
253,Richards Bay,ZA,-28.783,32.0377,69.08,87,97,8.41,overcast clouds
254,Messina,IT,38.1933,15.5497,54.0,76,40,6.91,scattered clouds
255,Shitanjing,CN,39.2342,106.3439,46.67,45,87,6.44,overcast clouds
256,Laguna,US,38.421,-121.4238,68.0,38,16,7.0,few clouds
257,Artyom,AZ,40.4723,50.333,53.6,87,0,11.5,clear sky
258,Poum,NC,-20.2333,164.0167,80.2,74,72,23.4,broken clouds
259,Los Llanos De Aridane,ES,28.6585,-17.9182,68.0,88,90,6.91,overcast clouds
260,Pryozerne,UA,45.2698,36.3303,48.67,88,51,8.32,broken clouds
261,Porbandar,IN,21.6422,69.6093,77.86,72,0,9.98,clear sky
262,Padang,ID,-0.9492,100.3543,75.2,100,40,2.3,scattered clouds
263,Yumen,CN,40.2833,97.2,45.9,30,96,7.65,overcast clouds
264,Carahue,CL,-38.7,-73.1667,53.6,87,0,3.44,clear sky
265,Pundaguitan,PH,6.3711,126.1689,81.63,74,98,5.95,overcast clouds
266,Kalga,RU,50.9251,118.898,40.66,37,8,1.92,clear sky
267,Mount Gambier,AU,-37.8333,140.7667,66.2,59,64,12.66,broken clouds
268,Sola,VU,-13.8833,167.55,89.6,74,40,4.05,scattered clouds
